customer,total_sales,rank
ILAYANGUDI,2103.0,2312
MANGALURU 575008,2100.0,2313
SANTOKHGARH,2099.0,2314
Pune kalyani nagar,2099.0,2314
CHARIDUAR,2098.0,2315
Kanyakumari,2097.0,2316
Satyavedu,2097.0,2316
Rupnagar,2096.38,2317
BHINMAL,2095.0,2318
Navi Mumbai 410218,2095.0,2318
"Jipmer Quarters,Gorimedu",2095.0,2318
Anantapur district,2094.34,2319
KRISHNAPURAM,2094.0,2320
GADHINGLAJ,2093.0,2321
Bhunter,2093.0,2321
KOSI KALAN,2093.0,2321
ROBERTSGANJ SONBHADRA,2091.0,2322
wardha,2090.0,2323
Jagatsinghapur,2088.0,2324
DHAURA TANDA,2086.0,2325
GANJIMUTT,2086.0,2325
BAIHAR,2086.0,2325
"THIRUVALLA, PATHANAMTHITTA",2086.0,2325
Ghansoli,2085.0,2326
SALASAR,2084.0,2327
LASALGAON,2084.0,2327
AMTA,2081.62,2328
KHERLI,2081.0,2329
TALEGAON station,2079.0,2330
DHARAMPUR,2074.0,2331
PERIYANAICKENPALAYAM,2073.0,2332
THANE (W),2073.0,2332
Sitapur,2072.0,2333
KURAOLI,2071.0,2334
SUNDARAPANDIAPURAM,2070.0,2335
SURAJGARH,2069.0,2336
DHARIWAL,2067.0,2337
MIRGANJ,2067.0,2337
MAHMUDABAD,2066.0,2338
THAKURGANJ,2066.0,2338
NARASINGAPURAM VELLORE DISTRICT,2064.0,2339
BASAVAKALYAN,2061.0,2340
MURBAD,2058.0,2341
MUKTSAR,2057.0,2342
MADURANTHAKAM,2057.0,2342
BAGEPALLI,2056.0,2343
"Hayathnagar, HYDERABAD",2055.0,2344
Bargawan,2054.67,2345
Tanuku,2054.0,2346
MARGHERITA,2054.0,2346
SHAJAPUR,2054.0,2346
ANDIPALAYAM,2053.0,2347
chennnai,2053.0,2347
Karunagappally,2051.0,2348
NANPARA,2050.0,2349
VALAYAM,2049.38,2350
Risali BHILAI,2045.0,2351
TIRUVURU,2042.0,2352
KOPPA,2041.0,2353
HOLALKERE,2040.0,2354
NAZIRA,2039.0,2355
DERGAON,2037.0,2356
"ARVI,Dist- wardha",2034.0,2357
PAINKULAM,2033.19,2358
KURALI,2033.0,2359
RAIRANGPUR,2033.0,2359
BILGRAM,2032.4299999999998,2360
Kottakkal,2032.1,2361
VISSANNAPET,2032.0,2362
PAPPINIVATTOM,2031.0,2363
Mussoorie,2031.0,2363
PUNE 16,2028.0,2364
GANAPATHIPURAM,2028.0,2364
CHALLAPALLE,2027.0,2365
Saharsa,2026.0,2366
MAKRONIA BUZURG,2025.0,2367
TITLAGARH,2024.0,2368
Nayagarh,2024.0,2368
MANMAD,2022.0,2369
SIMAR SIR,2022.0,2369
Nandyal,2021.0,2370
GOLUGONDA,2018.93,2371
"HOSKOTE, Bangalore",2018.0,2372
KHERAGARH,2016.5700000000002,2373
BORLI PANCHTAN,2015.0,2374
SHIMOGA,2014.0,2375
Gonda,2014.0,2375
donimalai,2013.0,2376
THIRUTHANGAL,2012.0,2377
"Kukatpally, HYDERABAD",2012.0,2377
ALAND,2011.0,2378
Kandivali East Mumbai,2011.0,2378
Banda,2009.0,2379
ALAGAPPAPURAM,2009.0,2379
GANJ DUNDWARA,2009.0,2379
ARNI,2008.0,2380
Phagwara,2007.67,2381
THOTTIYAM,2007.0,2382
MOKOKCHUNG,2006.0,2383
ENKAKKAD,2005.1,2384
RAJGURUNAGAR KHED,2005.0,2385
ULIYAZHATHURA,2005.0,2385
लखनऊ,2003.0,2386
SOUTH 24 PARGANAS,2003.0,2386
NAJAFGARH,2002.0,2387
TARAKESWAR,2001.0,2388
Kunnamkulam,2001.0,2388
TALIPARAMBA KANNUR,2000.0,2389
INDUSTRIAL AREA DEVAKATHIKOPPA AND SIDLIPURA,1999.0,2390
MAKRANA,1999.0,2390
FCI TOWNSHIP,1998.0,2391
Chinchpokli,1998.0,2391
KOOTTILANGADI,1998.0,2391
MALIKIPURAM,1998.0,2391
Jorethang,1998.0,2391
"Haldwani,Nainital",1998.0,2391
Una,1997.0,2392
UKWA,1997.0,2392
JODA,1996.0,2393
NAGARKURNOOL,1996.0,2393
"Ravet, Pune",1995.48,2394
FARSABAHAR,1994.54,2395
MAHABUBNAGAR,1991.0,2396
SANKARANKOIL,1991.0,2396
"MADURAVOYAL,CHENNAI",1987.0,2397
bokaro,1987.0,2397
Fort.MUMBAI,1986.0,2398
MEDHA,1984.0,2399
JAGALUR,1983.0,2400
KIZHUPARAMBA,1981.0,2401
Nerul,1981.0,2401
ALANGULAM TIRUNELVELI DISTRICT,1980.0,2402
RAGHUNATHPUR,1978.8600000000001,2403
ARMOOR,1978.0,2404
ERATTUPETTA,1978.0,2404
PERUVILAI,1977.0,2405
Nahan,1977.0,2405
THUVAKUDI,1975.0,2406
MODASA,1975.0,2406
GREAT NICOBAR,1973.0,2407
Theog,1972.0,2408
BOTAD,1971.48,2409
PENHA DE FRANCA,1971.0,2410
Dombivali east,1970.0,2411
Pottore,1968.0,2412
HIJULI,1968.0,2412
JHAGADIYA INDUSTRIAL AREA,1968.0,2412
CHEYYUR,1966.0,2413
ANUPPUR,1966.0,2413
NARKATIAGANJ,1966.0,2413
BARHANI BAZAR,1965.8600000000001,2414
ZAIDPUR,1963.0,2415
KGF,1963.0,2415
PARAVADA INDUSTRIAL AREA,1963.0,2415
"Chengannur, Alappuzha District",1962.0,2416
Raikal,1962.0,2416
BASMATH,1960.19,2417
Taliparamba,1960.0,2418
BAGGAR,1959.0,2419
GURSAHAIGANJ,1957.0,2420
West godavari,1957.0,2420
Gooty,1957.0,2420
BETUL BAZAR,1955.0,2421
KHAIRTHAL,1955.0,2421
MANIYAT,1955.0,2421
Jehanabad,1954.0,2422
TIPTUR,1954.0,2422
OACHIRA,1953.19,2423
WEST DELHI,1951.0,2424
Koothparamba,1951.0,2424
SHOLINGUR,1950.0,2425
"Makthal,narayanpet dist",1949.0,2426
GOBRA NAWAPARA,1949.0,2426
Sikkathambur Palayam,1949.0,2426
Mannuthy,1948.48,2427
HATTA,1948.0,2428
GOLA GOKARANNATH,1947.0,2429
Vijayapura,1947.0,2429
Dibrugarh,1945.0,2430
VELLORE district,1944.1,2431
KANNAUJ,1941.0,2432
PADAGHA,1939.0,2433
Unnao,1938.0,2434
Tiswadi,1938.0,2434
SRI MADHOPUR,1937.0,2435
Kunnamthanam,1937.0,2435
ETTIMADAI,1936.0,2436
PUNE-412207,1936.0,2436
Thullur,1935.0,2437
Bheemunipatnam,1934.0,2438
BENGALURU 560016,1933.0,2439
KADI,1933.0,2439
"BIDHAN NAGAR, Kolkata",1932.8600000000001,2440
VADAKKUMMURI,1931.0,2441
Elavally,1930.0,2442
KAJORA,1930.0,2442
KUNJATHUR,1930.0,2442
KHAMBHAT,1929.0,2443
Deoghar,1929.0,2443
Bijapur,1929.0,2443
Thane (West),1929.0,2443
CHITRAKOOT,1927.0,2444
Bidar,1926.0,2445
tirupati,1925.0,2446
RAIGAD,1924.0,2447
Hyderbad,1924.0,2447
DEWA,1923.0,2448
Mecheda,1923.0,2448
gurugram,1923.0,2448
MANCHAR,1922.0,2449
HINGOLI,1922.0,2449
SATANA,1921.8600000000001,2450
KHAGARIA,1921.0,2451
NADAPURAM,1921.0,2451
GAURI BAZAR,1921.0,2451
NENMENIKKARA,1920.0,2452
KARANJA,1920.0,2452
Padur,1920.0,2452
PAYAKARAOPETA,1919.0,2453
BAGASARA,1918.8600000000001,2454
MUNDRA,1918.0,2455
VADAKKUMKARA,1916.0,2456
SIDDAPUR,1913.0,2457
BARAUT,1910.6100000000001,2458
BAHJOI,1909.0,2459
Ponkunnam,1909.0,2459
TARAORI,1909.0,2459
NASIRABAD,1909.0,2459
PENNAGARAM,1909.0,2459
KIRIBURU,1908.0,2460
panipat,1907.48,2461
JAYPEE NAGAR,1906.0,2462
BIJPUR,1906.0,2462
NANDIGAMA,1905.0,2463
Chikkaballapur,1904.29,2464
mira road,1903.0,2465
CHITTUR,1903.0,2465
"Calicut,Pin-673008",1902.86,2466
Uttam nagar,1901.0,2467
BHIND,1900.0,2468
KHALIAPALI,1900.0,2468
SULLIA,1898.0,2469
Kuttippuram,1898.0,2469
IRINGAPROM,1897.0,2470
Maheswaram mandal,1896.0,2471
COURTALAM,1896.0,2471
JAWHARNAGAR,1891.81,2472
SANCHORE,1889.0,2473
KUDITHIPALEM,1887.95,2474
Mira Road east,1887.0,2475
Bapatla,1886.0,2476
"Aryanad,Trivandrum",1886.0,2476
TIRUPATi,1885.0,2477
North West Delhi,1884.0,2478
"Perole,Nileshwar P.O, kasaragod district",1883.0,2479
PUTHALAM,1883.0,2479
DIPKA,1882.0,2480
CHOGLAMSAR,1881.0,2481
KALINGA NAGAR INDUSTRIAL AREA,1880.0,2482
MUMBAI -400064,1880.0,2482
East Arjun Nagar,1878.0,2483
Chandausi,1877.0,2484
BADRA,1876.0,2485
HERBERTPUR,1876.0,2485
AHMEDABAD 380013,1875.0,2486
Tumakuru,1874.0,2487
Kendrapara,1872.0,2488
BANDIA,1872.0,2488
PEDDAPURAM,1872.0,2488
BULDANA,1871.8600000000001,2489
KUDUR,1870.05,2490
SAIHA,1870.0,2491
OTHAKADAI,1865.0,2492
MAHOLI,1864.0,2493
DALSINGHSARAI,1863.0,2494
Rairangpur,1863.0,2494
KIRATPUR,1863.0,2494
balrampur,1862.81,2495
VAKKOM,1862.0,2496
Kalaburgi,1858.0,2497
MEGHRAJ,1858.0,2497
UMRED,1858.0,2497
"Orathanad Taluk, Thanjavur Dt",1856.0,2498
PERINJANAM,1856.0,2498
KHAMBHALIA,1853.0,2499
SAGWARA,1853.0,2499
TEOK,1852.0,2500
UPLETA,1852.0,2500
Kizhakkambalam,1851.29,2501
Chorao,1851.0,2502
SARDHANA,1851.0,2502
BISHNUPUR BANKURA DISTRICT,1850.0,2503
"Chembur East, MUMBAI",1850.0,2503
Shahjahanpur,1847.0,2504
PHULPUR ALLAHABAD DISTRICT,1846.29,2505
Town Mapusa,1846.0,2506
Pala,1844.0,2507
GORAYA,1844.0,2507
Nadiad,1841.0,2508
OBRA sonebhadra,1840.0,2509
DONGARGARH,1840.0,2509
REPALLE,1839.0,2510
Bhavnagar,1838.0,2511
KALOL PANCH MAHALS DISTRICT,1837.0,2512
Rewa,1836.0,2513
GAZIPUR,1835.0,2514
Agarpara,1835.0,2514
ANKOLA,1835.0,2514
ORATHANADU,1834.0,2515
MURLIGANJ,1834.0,2515
ELAMAKKARA kochi,1828.0,2516
DINHATA,1828.0,2516
DAKOR,1827.0,2517
Dharmapuri,1827.0,2517
SINNAR,1826.67,2518
Yadgir,1826.48,2519
Bangla chouraha,1826.0,2520
Imphal East,1826.0,2520
Merces,1826.0,2520
GANGOH,1825.0,2521
HIREKERUR,1825.0,2521
MANDLESHWAR,1824.0,2522
MAHABALESHWAR,1823.0,2523
ITWA,1823.0,2523
Old Goa,1822.0,2524
Patancheru,1821.0,2525
Payyoli,1820.54,2526
Raia,1820.0,2527
KONDAGAON,1819.0,2528
PONDURA,1818.0,2529
SINGARAYAKONDA,1818.0,2529
kishanganj,1816.33,2530
SIKANDRA RAO hathras,1816.0,2531
Paravur,1815.0,2532
CHUARI KHAS,1814.0,2533
LUCKNOWLucknow,1814.0,2533
Gondia,1814.0,2533
KACHCHH,1813.0,2534
Bandel,1812.0,2535
Sihunta/samote,1812.0,2535
Paliganj,1811.0,2536
BORSAD,1811.0,2536
PERAIYUR,1810.0,2537
gaya,1808.0,2538
KHELARI,1808.0,2538
"Vindhyanagar, Singrauli",1808.0,2538
Thane East,1808.0,2538
KAIKALUR,1806.0,2539
Naigaon east,1803.0,2540
SIKANDERPUR BALLIA DISTRICT,1802.0,2541
Eluru,1801.0,2542
TILHAR,1801.0,2542
PANMANA,1800.0,2543
CHIPPADA PHARMA SEZ,1799.0,2544
JHALOD,1799.0,2544
Kothamangalam,1798.0,2545
RAJAURI,1798.0,2545
Kanchepuram,1798.0,2545
kollam,1798.0,2545
UDAIPURudaipur,1798.0,2545
SHEHERA,1796.2,2546
ATUL,1795.0,2547
PORT BLAIR / South Andaman,1793.0,2548
Airoli,1793.0,2548
Trissur,1790.0,2549
BHADERWAH,1789.0,2550
BANDHAWAGARH,1788.0,2551
KALYAN E,1788.0,2551
EAST KHASI HILLS,1787.0,2552
TULJAPUR,1787.0,2552
KALYAN EAST,1785.0,2553
"KATARAM, JAYASHANKAR BHUPALAPALLY DISTRICT",1784.0,2554
Golaghat,1784.0,2554
JANJGIR,1784.0,2554
MANALUR,1783.8600000000001,2555
PARASSALA,1779.0,2556
LAKHIPUR GOALPARA DISTRICT,1779.0,2556
RAMPURHAT,1778.48,2557
Kundapura,1778.0,2558
PARICHHA,1778.0,2558
JAYNAGAR MAZILPUR,1778.0,2558
Lakhisarai,1778.0,2558
TITABOR TOWN,1777.0,2559
"Bantwal, dakshina kannada",1776.0,2560
Forbesganj,1776.0,2560
Karapakkam chennai,1775.0,2561
"Bhosari, Pune",1775.0,2561
Sambalpur,1774.0,2562
Nimta,1774.0,2562
BHARWARI,1772.0,2563
NEW DELHIdelhi,1772.0,2563
KAIMGANJ,1771.0,2564
DESAMANGALAM,1770.0,2565
VELLANIKKARA,1769.71,2566
Birbhum,1769.0,2567
PANJIM,1768.0,2568
VERAVAL RAJKOT DISTRICT,1763.24,2569
ETAH,1762.0,2570
TAMNAR,1762.0,2570
NALLASOPARA,1757.0,2571
DIST : NADIA,1756.0,2572
PORTBLAIR,1755.19,2573
Neemuch,1755.19,2573
"Gurgaon, HSIIDC SOHNA",1755.0,2574
BOKARO THERMAL TOWNSHIP,1754.0,2575
KHANAKUL I,1753.0,2576
Oachira,1753.0,2576
SARAI MIR,1752.0,2577
NAIDUPET-Nellore district,1751.0,2578
MALUR INDUSTRIAL AREA,1751.0,2578
PANNA,1750.0,2579
Kanigiri,1749.0,2580
GHARAUNDA,1748.0,2581
Nalasopara east,1748.0,2581
ALIPURDUAR,1746.0,2582
Renigunta,1746.0,2582
AKALGARH,1745.0,2583
madanganj-kishangarh  ajmer,1744.0,2584
THISAYANVILAI,1743.0,2585
INDIAN TEHEPHONE INDUSTRY MANKAPUR,1741.0,2586
JillelaGuda,1740.0,2587
CHINNAMANUR,1739.29,2588
ANNAVARAM,1739.0,2589
Saifai Etawah,1738.0,2590
"GUNDLUPET Taloku,chamarajanagara distic",1738.0,2590
KAMOTHE,1738.0,2590
BIHPURIA,1737.0,2591
IRUGUR,1735.0,2592
BEWAR,1734.8600000000001,2593
AKIVIDU,1733.0,2594
Churachandpur,1733.0,2594
"Old Panvel, Navi Mumbai",1731.0,2595
ETMADPUR,1730.0,2596
TOHANA,1730.0,2596
BOOTHAPANDI,1730.0,2596
GANDERBAL,1729.0,2597
dhrangadhra,1727.8600000000001,2598
HOSANAGARA,1727.0,2599
JHALRAPATAN,1727.0,2599
Nandurbar,1725.0,2600
PUNGANUR,1725.0,2600
Kolaghat,1725.0,2600
PANDHURNA,1724.0,2601
PARGI,1719.0,2602
Mumb,1719.0,2602
Danapur,1716.0,2603
MUDINEPALLE,1716.0,2603
MUTHUKULAM,1715.0,2604
PUTHUPPALLY,1715.0,2604
JALALABAD,1714.0,2605
Purnia,1713.0,2606
Kansal,1713.0,2606
Kallakurichi,1712.0,2607
Yeshwanthpur bangalore,1712.0,2607
Chanthavila,1710.0,2608
Nalasopara west,1710.0,2608
Muzaffarnagar,1709.24,2609
VIRAR WEST,1708.57,2610
NIDADAVOLE,1708.0,2611
VASCO-DA-GAMA,1707.0,2612
Nallasopara,1704.0,2613
KALYAN West,1703.0,2614
Canacona,1703.0,2614
VATSAVAI,1702.0,2615
Nalgonda,1701.0,2616
Auroville,1700.0,2617
"POTHREDDIPALLY, Sangareddy",1700.0,2617
Chalakudy,1699.95,2618
Amrath,1698.0,2619
GUDIVADA,1698.0,2619
MADHIRA,1697.0,2620
RANGIA PART,1697.0,2620
DEESA,1696.0,2621
ANANDAPUR,1695.48,2622
NOWROZABAD,1693.71,2623
Koratla,1691.18,2624
Attingal,1691.0,2625
EKANGAR SARAI,1690.0,2626
ANKLESHWR,1689.0,2627
TELHARA,1688.0,2628
P O Peerumadara District Nainital,1687.0,2629
agra,1687.0,2629
KANSABEL,1686.4299999999998,2630
MOUJE ANJANVEL,1686.0,2631
Kakkabe,1685.72,2632
KALANWALI,1684.0,2633
JALESWAR,1684.0,2633
POKARAN,1683.0,2634
HARINA,1683.0,2634
PALITANA,1683.0,2634
PENDRA,1680.71,2635
AMARAVATHI,1680.0,2636
ATHIYANNUR,1679.0,2637
Saroornagar,1677.0,2638
Near BPTP Astaire Garden/M3M Escala,1676.0,2639
Kharagpur,1676.0,2639
HARIPAL,1676.0,2639
KESKAL,1676.0,2639
Ernakullam,1675.0,2640
GUDIBANDA,1673.0,2641
Otur,1673.0,2641
Shakarpur,1672.0,2642
"Ithepalli, Chandragiri",1671.0,2643
BIJBEHARA,1670.0,2644
jagat puri,1669.0,2645
salem,1669.0,2645
KUDUS,1668.0,2646
KAGAL,1667.0,2647
Katihar,1667.0,2647
DANGUWAPASI,1667.0,2647
THENNALA,1664.0,2648
Sullia,1662.0,2649
Srinagar garhwal,1661.0,2650
DAMANJODI,1661.0,2650
Kanchipuram district,1660.57,2651
KADEGAON,1660.0,2652
CHHOTI SADRI,1657.0,2653
malout,1654.0,2654
PAYYANNUR,1653.0,2655
PEERMADE,1653.0,2655
RAIKOT,1652.0,2656
NARASANNAPETA,1652.0,2656
Saligao,1650.0,2657
Payradanga,1650.0,2657
"New Panvel, NAVI MUMBAI",1650.0,2657
JANDIALA AMRITSAR DISTRICT,1649.0,2658
Mandya distic,1648.0,2659
MAJHAULIA,1648.0,2659
Manesar,1648.0,2659
Vasco Da Gama,1647.0,2660
PALLIPPURAM ALAPPUZHA DISTRICT,1647.0,2660
Chittoor,1646.0,2661
Dombivili East,1646.0,2661
Tiruvallur,1646.0,2661
Gorantla,1645.0,2662
Kumbakonam,1645.0,2662
MANAPPARAI,1644.0,2663
"NEW TOWN, KOLKATA",1644.0,2663
KARUNAGAPPALLY,1641.0,2664
DHRANGADHRA,1640.0,2665
KANINA,1639.0,2666
Payyannur,1639.0,2666
KRISHNARAJA SAGARA,1638.0,2667
Greater Noida west,1637.0,2668
City,1637.0,2668
Sullurupeta,1637.0,2668
KESHOD,1636.0,2669
guntur,1636.0,2669
"MAPUSA, BARDEZ",1634.0,2670
Vetapalem,1634.0,2670
BOKAKHAT,1633.0,2671
SAMALKOT,1633.0,2671
Taleigao,1633.0,2671
MAWANA,1633.0,2671
AMBALA CANTT,1633.0,2671
Zundal,1632.2,2672
BHUVANAGIRI,1632.0,2673
PAMUR,1632.0,2673
SELOO WARDHA DISTRICT,1632.0,2673
PORSA,1631.0,2674
KOTTAKUPPAM,1630.0,2675
LALPUR,1630.0,2675
"khajaguda, Gachibowli",1629.0,2676
THORRUR,1626.0,2677
SIPCOT INDUSTRIAL PARK SRIPRUMBUDUR,1626.0,2677
Ara,1625.0,2678
Goregaon East,1623.0,2679
Sohna,1622.0,2680
BACHHRAON,1621.0,2681
TIRUPATHUR SIVAGANGA DISTRICT,1620.0,2682
MULAVUKAD,1620.0,2682
KOLLUR,1620.0,2682
NIRSA,1620.0,2682
Narikkuni,1620.0,2682
DARLAGHAT,1620.0,2682
ARASUR,1619.61,2683
KARJAN,1619.0,2684
CHIRGAON,1618.0,2685
N.Delhi,1617.0,2686
Nirjuli,1616.0,2687
"phanigiri road,Chaitanyapuri,Hyderabad",1616.0,2687
HD KOTE,1616.0,2687
BABA BAKALA,1613.0,2688
Jashpurnagar,1613.0,2688
jagadhri,1613.0,2688
Hunsur,1613.0,2688
VYTHIRI,1612.0,2689
SAKHINETIPALLE,1610.0,2690
"Thakurli, Dist Thane",1609.0,2691
Sawantwadi,1608.0,2692
JALORE,1604.0,2693
PUNE CITY,1603.0,2694
WARUD,1602.67,2695
badlapur,1602.0,2696
Newdelhi,1600.0,2697
VILLIANUR TALUK,1600.0,2697
Najafgarh,1598.0,2698
SAKTI,1598.0,2698
AURAD,1598.0,2698
bANGALORE,1598.0,2698
"Anpara,Sonebhadra",1596.0,2699
SONARPUR,1596.0,2699
"Kharghar, Navi Mumbai",1596.0,2699
KARARI CHANDPUR,1594.0,2700
GWALIOr,1594.0,2700
BADAMI,1594.0,2700
KANNANOOR,1594.0,2700
MEENACHIL,1593.0,2701
KHATRA,1593.0,2701
Bharatpur,1590.0,2702
ERAL,1587.0,2703
ASHOKNAGAR,1586.0,2704
"Pune,",1586.0,2704
Suntikoppa,1586.0,2704
JAYSINGPUR,1585.0,2705
BENGALURE,1585.0,2705
North Delhi,1583.0,2706
puttur,1583.0,2706
BADLI,1583.0,2706
DIDWANA,1582.0,2707
Manja Fish Market,1582.0,2707
FORTKOCHI,1577.0,2708
MAWLAI,1576.0,2709
"Kalyan, Thane",1576.0,2709
NUMALIGARH REFINERY TOWNSHIP,1575.0,2710
Gumla,1575.0,2710
RAYMOND CHHINDWARA,1575.0,2710
PICHHORE SHIVPURI DISTRICT,1574.0,2711
SOMANDEPALLE,1573.0,2712
TAMBARAM,1572.0,2713
CHANNARAYAPATNA,1571.76,2714
TAORU,1571.0,2715
Pantnagar,1571.0,2715
nagpur,1571.0,2715
KALYAN(W),1571.0,2715
mangalam,1570.0,2716
Bongaigaon,1570.0,2716
"Atmakur(man),nellore(dist).",1570.0,2716
BIRPARA TEA GARDEN,1569.0,2717
MAIHAR,1567.0,2718
KARIAPATTI,1563.0,2719
GIDDALURU,1563.0,2719
Cheppad,1562.0,2720
ABOHAR,1562.0,2720
Vasai Virar,1562.0,2720
EDATHIRUTHY,1562.0,2720
VIRAR (w),1560.0,2721
Mayurbhanj,1560.0,2721
GAKULPUR,1560.0,2721
VASAI East,1559.95,2722
Dhamnod Dhar District,1559.0,2723
DAKSHIN RAJYADHARPUR,1558.8600000000001,2724
Colvale,1558.0,2725
Nandikotkur KURNOOL,1556.0,2726
KALIABOR,1556.0,2726
NANMANDA,1554.38,2727
"Balkum, Thane",1554.0,2728
BHAINSA,1554.0,2728
"Andheri East, Mumbai",1554.0,2728
DOMBIVLI WEST,1553.0,2729
kunnamangalam,1552.1399999999999,2730
FARRUKHNAGAR,1552.0,2731
Samrala,1552.0,2731
Pandalam,1552.0,2731
SHIKARPUR,1550.1399999999999,2732
DEODAR,1550.0,2733
MAHESHWAR,1550.0,2733
Balasore,1549.0,2734
NAWALGARH,1549.0,2734
Karimanagar,1549.0,2734
KOTLA NIHANG,1549.0,2734
Chembur Mumbai,1547.0,2735
Falakata,1547.0,2735
ZIRAKPUR Punjab Mohali,1547.0,2735
NAKREKAL,1546.33,2736
Kottayam District,1546.0,2737
GAURA KALA,1546.0,2737
LAKHIPUR CACHAR DISTRICT,1544.0,2738
PUSHKAR,1543.0,2739
"bajajnagar, aurangabad.",1542.0,2740
"Edapally, ernakulam",1542.0,2740
"South Bopal, Ahmedabad",1542.0,2740
Erayamkudy,1542.0,2740
"Kanjirappally, Kottayam",1542.0,2740
METTUPALAYAM TIRUCHIRAPPALLI DISTRICT,1542.0,2740
"Nelamangala taluk ,BENGALURU",1542.0,2740
"New Panvel, Navi Mumbai, Raigad Dist.",1542.0,2740
NEW TEHRI,1542.0,2740
KOIDA,1542.0,2740
MAGADI,1541.0,2741
Jagatsinghpur,1539.0,2742
SULLURUPETA,1539.0,2742
CHITYALA,1539.0,2742
Barnala,1539.0,2742
PUZHATHI,1538.48,2743
"Mulund (west), Mumbai",1537.0,2744
MUNGELI,1536.0,2745
UMARGA,1535.48,2746
REASI,1535.0,2747
JUNAGARH,1535.0,2747
Chomu Jaipur,1534.5700000000002,2748
Morigaon,1534.0,2749
MAYYANAD,1534.0,2749
WADA,1534.0,2749
KAIPAMANGALAM,1534.0,2749
TALIKOTA,1532.0,2750
Baran,1532.0,2750
"Chinnakalapet, Puducherry",1531.0,2751
Ulhasnagar 3,1531.0,2751
Maraimalainagar,1531.0,2751
BISHAMA KATAK,1531.0,2751
SUJANGARH,1529.0,2752
Bidadi,1529.0,2752
Sikar,1528.0,2753
SENDHWA,1528.0,2753
NAGOTHANA,1527.0,2754
BALOD,1526.0,2755
Mirza,1524.14,2756
Namchi,1524.0,2757
Rangpo,1523.0,2758
"Danapur, Patna",1523.0,2758
DAUNDdaund,1523.0,2758
SENAPATI,1523.0,2758
"Vadamalpet (M), Chittoor (D.t)",1523.0,2758
Lakhni,1523.0,2758
BADARPUR RLY TOWN,1523.0,2758
YEMMIGANUR,1523.0,2758
PATALGANGA MIDC,1523.0,2758
NewBARRACKPUR,1523.0,2758
Holehonnuru,1523.0,2758
"Boduppal, Hyderabad - 92",1523.0,2758
MAZBAT,1523.0,2758
Ugar Khurd,1523.0,2758
PALLADAM,1522.29,2759
KANHIRODE,1522.0,2760
POTHIA,1522.0,2760
PUSAD MIDC,1521.0,2761
NEW DELHIi,1520.0,2762
SAMALKHA,1518.0,2763
Khordha,1518.0,2763
KRISHNA,1517.0,2764
Suryapet,1516.2,2765
"Mannarkkad , palakkad",1515.0,2766
MAURANIPUR,1514.0,2767
Lonavla,1513.0,2768
vallapuzha palakkad,1513.0,2768
MALAUT,1511.0,2769
KANPUR NAGAR,1509.48,2770
"Payyanur, Kannur",1508.5700000000002,2771
PACHORA,1508.0,2772
Shikrapur,1508.0,2772
Shadnagar,1507.0,2773
IRINGAL,1507.0,2773
"Avanyapuram , Madurai",1506.0,2774
terdal,1506.0,2774
Digras,1506.0,2774
BARUGHUTU,1506.0,2774
Kuthuparamba,1506.0,2774
KOTHAPETA,1505.29,2775
Ambalamedu,1505.29,2775
ASHRAFPUR KICHHAUCHHA,1505.29,2775
AGATTI,1505.29,2775
Bethuadahari,1505.0,2776
LANKA,1505.0,2776
"Kalaiyanur, coimbatore",1505.0,2776
Ranikhet,1504.3600000000001,2777
Bettiah,1504.0,2778
ADDAKAL,1503.8600000000001,2779
URMAR TANDA,1503.38,2780
Balaghat,1502.76,2781
AVINASHI,1502.0,2782
Palwal,1501.0,2783
MAHRAJGANJ AZAMGARH DISTRICT,1501.0,2783
MANGROL,1501.0,2783
"Duvva, Tanuku Mandalam,",1499.0,2784
DAKSHINA KANNADA,1498.0,2785
"PERUMCHERY  POST, THRISSUR",1497.0,2786
Tirunelveli Town,1496.75,2787
Adimaly,1496.0,2788
HIMATNAGAR,1496.0,2788
LOHARDAGA,1496.0,2788
tadepalli,1495.24,2789
Peddapalli District,1495.0,2790
T KALLUPATTI,1495.0,2790
"Sargasan, Gandhinagar",1494.0,2791
MANGAON,1494.0,2791
Ambedkar Nagar,1494.0,2791
"ANDHERI WEST, MUMBAI",1493.0,2792
Nigadi Pradhikaran Pune,1492.0,2793
Guntakal,1491.0,2794
"Thrippunithura , Kochi",1488.0,2795
Ramachandrapuram,1488.0,2795
"SATTENAPALLI(md),guntur(dt)",1488.0,2795
MULGUND,1488.0,2795
UMARKOTE,1488.0,2795
BORIM,1487.0,2796
BAIDYABATI,1487.0,2796
PONMUNDAM,1486.0,2797
Basirhat,1486.0,2797
ULAVAPADU,1486.0,2797
Coochbehar,1485.0,2798
PANDALAM,1484.0,2799
DELHI Cantt,1484.0,2799
WADGAON,1483.93,2800
"Vaduthala,Kochi",1483.0,2801
ROSERA,1483.0,2801
Kapurthala,1483.0,2801
Sonada,1481.0,2802
NERUL,1481.0,2802
LAKHANPUR,1481.0,2802
MANNAR,1481.0,2802
KAMAN,1481.0,2802
DUILLLYA,1481.0,2802
Kalyan east,1480.0,2803
Brahmapur,1480.0,2803
UNJHA,1479.0,2804
SIRALKOPPA,1479.0,2804
Talegaon Dabhade,1478.0,2805
Bantval,1477.0,2806
"Naini, Allahabad",1477.0,2806
BARODA,1477.0,2806
